Symbol,Type,TPM(Control),Filt
Abca1,Long_Genes_without_Long_Intron,2.9465,n
Abcc1,Long_Genes_without_Long_Intron,2.1758,n
Abcc9,Long_Genes_without_Long_Intron,2.3086,n
Adam10,Long_Genes_without_Long_Intron,6.2719,n
Agtpbp1,Long_Genes_without_Long_Intron,4.506,n
Ahi1,Long_Genes_without_Long_Intron,5.1184,n
AI314180,Long_Genes_without_Long_Intron,4.8601,n
Akap9,Long_Genes_without_Long_Intron,3.2265,n
Alms1,Long_Genes_without_Long_Intron,2.2437,n
Ankib1,Long_Genes_without_Long_Intron,4.2694,n
Ap2b1,Long_Genes_without_Long_Intron,7.1783,n
Ash1l,Long_Genes_without_Long_Intron,3.4874,n
Atad2b,Long_Genes_without_Long_Intron,3.6593,n
Atp11b,Long_Genes_without_Long_Intron,3.8964,n
Atp9b,Long_Genes_without_Long_Intron,4.2238,n
Atrn,Long_Genes_without_Long_Intron,3.3416,n
Baz1a,Long_Genes_without_Long_Intron,4.7308,n
Birc6,Long_Genes_without_Long_Intron,3.5888,n
Bltp1,Long_Genes_without_Long_Intron,2.243,n
Cabin1,Long_Genes_without_Long_Intron,3.777,n
Cast,Long_Genes_without_Long_Intron,2.0553,n
Ccdc18,Long_Genes_without_Long_Intron,2.2896,n
Ccdc88a,Long_Genes_without_Long_Intron,4.7907,n
Cd109,Long_Genes_without_Long_Intron,2.7737,n
Cep350,Long_Genes_without_Long_Intron,2.2228,n
Cep83,Long_Genes_without_Long_Intron,5.1059,n
Cep85l,Long_Genes_without_Long_Intron,3.2677,n
Chd2,Long_Genes_without_Long_Intron,3.7317,n
Cit,Long_Genes_without_Long_Intron,2.303,n
Clasp2,Long_Genes_without_Long_Intron,5.1564,n
Clip1,Long_Genes_without_Long_Intron,4.0539,n
Clpb,Long_Genes_without_Long_Intron,4.0964,n
Col11a1,Long_Genes_without_Long_Intron,3.3238,n
Cop1,Long_Genes_without_Long_Intron,4.4303,n
Cplane1,Long_Genes_without_Long_Intron,2.9711,n
Csnk1g1,Long_Genes_without_Long_Intron,3.3904,n
Cyfip2,Long_Genes_without_Long_Intron,5.2483,n
Dennd4a,Long_Genes_without_Long_Intron,2.4126,n
Dennd4c,Long_Genes_without_Long_Intron,2.872,n
Dennd5b,Long_Genes_without_Long_Intron,3.4456,n
Depdc5,Long_Genes_without_Long_Intron,3.4806,n
Dmxl1,Long_Genes_without_Long_Intron,2.9284,n
Dmxl2,Long_Genes_without_Long_Intron,3.4501,n
Dnaaf9,Long_Genes_without_Long_Intron,4.2467,n
Dnajc13,Long_Genes_without_Long_Intron,3.7281,n
Dnmt3a,Long_Genes_without_Long_Intron,4.9299,n
Drosha,Long_Genes_without_Long_Intron,6.5158,n
Dync2h1,Long_Genes_without_Long_Intron,3.059,n
Eml5,Long_Genes_without_Long_Intron,2.0946,n
Ep400,Long_Genes_without_Long_Intron,3.6812,n
Epb41l5,Long_Genes_without_Long_Intron,3.8867,n
Eps15,Long_Genes_without_Long_Intron,4.384,n
Ext2,Long_Genes_without_Long_Intron,5.4647,n
Eya1,Long_Genes_without_Long_Intron,2.8871,n
Fam13c,Long_Genes_without_Long_Intron,3.1645,n
Fbxw11,Long_Genes_without_Long_Intron,6.0557,n
Fgfr2,Long_Genes_without_Long_Intron,4.2214,n
Flt1,Long_Genes_without_Long_Intron,2.4083,n
Garnl3,Long_Genes_without_Long_Intron,2.3643,n
Gigyf2,Long_Genes_without_Long_Intron,3.918,n
Hace1,Long_Genes_without_Long_Intron,2.9595,n
Helz,Long_Genes_without_Long_Intron,2.4536,n
Heph,Long_Genes_without_Long_Intron,3.2921,n
Herc1,Long_Genes_without_Long_Intron,3.8162,n
Herc2,Long_Genes_without_Long_Intron,3.6778,n
Htt,Long_Genes_without_Long_Intron,2.2428,n
Huwe1,Long_Genes_without_Long_Intron,5.0968,n
Ift80,Long_Genes_without_Long_Intron,4.5178,n
Ino80,Long_Genes_without_Long_Intron,2.6459,n
Ipo11,Long_Genes_without_Long_Intron,6.1793,n
Itfg1,Long_Genes_without_Long_Intron,6.1124,n
Itgb5,Long_Genes_without_Long_Intron,3.0345,n
Itih5,Long_Genes_without_Long_Intron,2.1088,n
Itsn2,Long_Genes_without_Long_Intron,2.1593,n
Kdm4c,Long_Genes_without_Long_Intron,3.6916,n
Kif1b,Long_Genes_without_Long_Intron,5.9259,n
Kif4,Long_Genes_without_Long_Intron,5.0719,n
Kifap3,Long_Genes_without_Long_Intron,6.5012,n
Klhl2,Long_Genes_without_Long_Intron,4.9324,n
L3mbtl3,Long_Genes_without_Long_Intron,4.0325,n
Lama1,Long_Genes_without_Long_Intron,3.2551,n
Lrp5,Long_Genes_without_Long_Intron,4.1471,n
Lrp6,Long_Genes_without_Long_Intron,4.4638,n
Lrrc49,Long_Genes_without_Long_Intron,5.0591,n
Lrrfip2,Long_Genes_without_Long_Intron,4.4362,n
Man1a2,Long_Genes_without_Long_Intron,4.3831,n
Man2a1,Long_Genes_without_Long_Intron,2.8536,n
Matn2,Long_Genes_without_Long_Intron,2.2823,n
Mdn1,Long_Genes_without_Long_Intron,2.3368,n
Me1,Long_Genes_without_Long_Intron,3.7621,n
Mipep,Long_Genes_without_Long_Intron,4.33,n
Mkln1,Long_Genes_without_Long_Intron,5.5845,n
Mrc1,Long_Genes_without_Long_Intron,3.4391,n
Msh3,Long_Genes_without_Long_Intron,4.6882,n
Mta3,Long_Genes_without_Long_Intron,4.0996,n
Mtor,Long_Genes_without_Long_Intron,3.558,n
Mycbp2,Long_Genes_without_Long_Intron,2.9331,n
Myh10,Long_Genes_without_Long_Intron,6.3452,n
Myo9a,Long_Genes_without_Long_Intron,3.1393,n
Nars2,Long_Genes_without_Long_Intron,3.8056,n
Ncor1,Long_Genes_without_Long_Intron,4.6746,n
Ncor2,Long_Genes_without_Long_Intron,3.9637,n
Nek1,Long_Genes_without_Long_Intron,3.7703,n
Nfkb1,Long_Genes_without_Long_Intron,3.4092,n
Nin,Long_Genes_without_Long_Intron,2.0954,n
Nrp2,Long_Genes_without_Long_Intron,4.6189,n
Nrxn2,Long_Genes_without_Long_Intron,3.5601,n
Nsd1,Long_Genes_without_Long_Intron,4.5907,n
Nsf,Long_Genes_without_Long_Intron,4.9112,n
Nup210,Long_Genes_without_Long_Intron,4.2907,n
Patj,Long_Genes_without_Long_Intron,3.1343,n
Pbrm1,Long_Genes_without_Long_Intron,5.168,n
Pde5a,Long_Genes_without_Long_Intron,3.204,n
Phf20,Long_Genes_without_Long_Intron,4.5626,n
Phf8,Long_Genes_without_Long_Intron,4.2929,n
Phip,Long_Genes_without_Long_Intron,4.8375,n
Phka1,Long_Genes_without_Long_Intron,2.2691,n
Pi4ka,Long_Genes_without_Long_Intron,4.6656,n
Pias1,Long_Genes_without_Long_Intron,4.1666,n
Pibf1,Long_Genes_without_Long_Intron,4.5159,n
Pik3c2a,Long_Genes_without_Long_Intron,3.7353,n
Pik3cb,Long_Genes_without_Long_Intron,3.5144,n
Pir,Long_Genes_without_Long_Intron,2.3205,n
Plxnc1,Long_Genes_without_Long_Intron,3.5677,n
Polr3b,Long_Genes_without_Long_Intron,3.9269,n
Prkdc,Long_Genes_without_Long_Intron,2.3904,n
Psme4,Long_Genes_without_Long_Intron,6.005,n
Rabgap1,Long_Genes_without_Long_Intron,5.1053,n
Ralgapa1,Long_Genes_without_Long_Intron,3.398,n
Rbbp8,Long_Genes_without_Long_Intron,5.2979,n
Rbm33,Long_Genes_without_Long_Intron,3.5851,n
Rfx4,Long_Genes_without_Long_Intron,3.4326,n
Ric8b,Long_Genes_without_Long_Intron,3.8955,n
Rnf130,Long_Genes_without_Long_Intron,4.6415,n
Rps6ka3,Long_Genes_without_Long_Intron,4.6905,n
Rps6kc1,Long_Genes_without_Long_Intron,4.008,n
Rttn,Long_Genes_without_Long_Intron,2.3057,n
Rundc3b,Long_Genes_without_Long_Intron,3.6615,n
Sclt1,Long_Genes_without_Long_Intron,4.3905,n
Sel1l3,Long_Genes_without_Long_Intron,4.1099,n
Senp7,Long_Genes_without_Long_Intron,3.8802,n
Sfxn5,Long_Genes_without_Long_Intron,3.056,n
Shtn1,Long_Genes_without_Long_Intron,3.9214,n
Slc25a13,Long_Genes_without_Long_Intron,3.9225,n
Smarcc1,Long_Genes_without_Long_Intron,7.0774,n
Smchd1,Long_Genes_without_Long_Intron,5.4622,n
Snx25,Long_Genes_without_Long_Intron,3.4358,n
Sorl1,Long_Genes_without_Long_Intron,3.4992,n
Spag9,Long_Genes_without_Long_Intron,6.066,n
Spata6,Long_Genes_without_Long_Intron,3.7444,n
Specc1l,Long_Genes_without_Long_Intron,5.1901,n
Tbck,Long_Genes_without_Long_Intron,3.1985,n
Tfdp2,Long_Genes_without_Long_Intron,4.3532,n
Thoc2,Long_Genes_without_Long_Intron,4.5514,n
Tlk2,Long_Genes_without_Long_Intron,4.641,n
Tnks,Long_Genes_without_Long_Intron,4.4977,n
Trip12,Long_Genes_without_Long_Intron,6.1244,n
Tsga10,Long_Genes_without_Long_Intron,3.1277,n
Tspan12,Long_Genes_without_Long_Intron,4.8985,n
Ttbk2,Long_Genes_without_Long_Intron,3.5378,n
Ttc17,Long_Genes_without_Long_Intron,3.1385,n
Ttc39b,Long_Genes_without_Long_Intron,2.6719,n
Ttc7b,Long_Genes_without_Long_Intron,3.9401,n
Tut4,Long_Genes_without_Long_Intron,4.4963,n
Ube3c,Long_Genes_without_Long_Intron,5.0774,n
Ubr1,Long_Genes_without_Long_Intron,3.6292,n
Ubr3,Long_Genes_without_Long_Intron,4.3164,n
Ubr4,Long_Genes_without_Long_Intron,3.4713,n
Uggt1,Long_Genes_without_Long_Intron,5.204,n
Upf2,Long_Genes_without_Long_Intron,4.5562,n
Usp24,Long_Genes_without_Long_Intron,4.1052,n
Usp25,Long_Genes_without_Long_Intron,4.3408,n
Usp34,Long_Genes_without_Long_Intron,4.9244,n
Usp9x,Long_Genes_without_Long_Intron,5.808,n
Vac14,Long_Genes_without_Long_Intron,4.5505,n
Vit,Long_Genes_without_Long_Intron,3.4298,n
Vps13a,Long_Genes_without_Long_Intron,2.6429,n
Vps35l,Long_Genes_without_Long_Intron,5.7397,n
Vps50,Long_Genes_without_Long_Intron,4.3574,n
Vps53,Long_Genes_without_Long_Intron,5.8015,n
Vwf,Long_Genes_without_Long_Intron,2.0158,n
Wnk3,Long_Genes_without_Long_Intron,2.7556,n
Wwp1,Long_Genes_without_Long_Intron,3.8942,n
Wwp2,Long_Genes_without_Long_Intron,5.0103,n
Xrn1,Long_Genes_without_Long_Intron,3.2984,n
Zmym4,Long_Genes_without_Long_Intron,5.056,n
Zmynd8,Long_Genes_without_Long_Intron,4.264,n
Zzef1,Long_Genes_without_Long_Intron,2.2297,n
2700049A03Rik,Non_Target_Long_Genes,3.376,n
2900026A02Rik,Non_Target_Long_Genes,2.6396,n
3110082I17Rik,Non_Target_Long_Genes,4.9212,n
Abat,Non_Target_Long_Genes,4.3575,n
Abcb7,Non_Target_Long_Genes,4.9039,n
Abcg2,Non_Target_Long_Genes,5.5153,n
Ablim3,Non_Target_Long_Genes,2.1073,n
Abr,Non_Target_Long_Genes,5.7782,n
Acbd6,Non_Target_Long_Genes,5.3221,n
Acvr1,Non_Target_Long_Genes,4.627,n
Adam22,Non_Target_Long_Genes,2.2687,n
Adck1,Non_Target_Long_Genes,4.1266,n
Add3,Non_Target_Long_Genes,5.288,n
Adgre1,Non_Target_Long_Genes,2.1058,n
Adgrl4,Non_Target_Long_Genes,2.4862,n
Adk,Non_Target_Long_Genes,6.8978,n
Aff2,Non_Target_Long_Genes,3.4155,n
Afg1l,Non_Target_Long_Genes,2.083,n
Afg2a,Non_Target_Long_Genes,4.657,n
Akap7,Non_Target_Long_Genes,2.8439,n
Ammecr1,Non_Target_Long_Genes,3.2711,n
Amotl1,Non_Target_Long_Genes,3.2609,n
Angpt1,Non_Target_Long_Genes,2.5606,n
Ankrd12,Non_Target_Long_Genes,2.9018,n
Ano10,Non_Target_Long_Genes,4.3996,n
Antxr1,Non_Target_Long_Genes,3.5192,n
Antxr2,Non_Target_Long_Genes,3.114,n
Arhgap10,Non_Target_Long_Genes,3.6827,n
Arhgap12,Non_Target_Long_Genes,5.4459,n
Arhgap28,Non_Target_Long_Genes,2.7819,n
Arhgap35,Non_Target_Long_Genes,5.9486,n
Arhgap42,Non_Target_Long_Genes,3.6024,n
Arhgef26,Non_Target_Long_Genes,3.2606,n
Armc9,Non_Target_Long_Genes,3.1429,n
Armh3,Non_Target_Long_Genes,3.8335,n
Armh4,Non_Target_Long_Genes,3.8259,n
Arsb,Non_Target_Long_Genes,3.2813,n
Asb3,Non_Target_Long_Genes,4.737,n
Ascc3,Non_Target_Long_Genes,3.58,n
Asph,Non_Target_Long_Genes,3.4599,n
Ate1,Non_Target_Long_Genes,3.9173,n
Atf6,Non_Target_Long_Genes,2.7686,n
Atg10,Non_Target_Long_Genes,2.8754,n
Atg4a,Non_Target_Long_Genes,3.2403,n
Atg7,Non_Target_Long_Genes,3.3978,n
Atp2c1,Non_Target_Long_Genes,5.3976,n
Atp7a,Non_Target_Long_Genes,3.4892,n
Atp8a1,Non_Target_Long_Genes,2.973,n
Atxn7,Non_Target_Long_Genes,3.0995,n
AU040320,Non_Target_Long_Genes,3.6354,n
Aven,Non_Target_Long_Genes,4.9881,n
AW554918,Non_Target_Long_Genes,2.8991,n
Bcar3,Non_Target_Long_Genes,2.4042,n
Bckdhb,Non_Target_Long_Genes,5.1237,n
Bcl2,Non_Target_Long_Genes,3.3269,n
Bicc1,Non_Target_Long_Genes,2.4655,n
Bmal1,Non_Target_Long_Genes,3.0549,n
Bmp5,Non_Target_Long_Genes,2.9389,n
Bmp6,Non_Target_Long_Genes,2.5065,n
Bmper,Non_Target_Long_Genes,3.3072,n
Bmpr1b,Non_Target_Long_Genes,3.1428,n
Braf,Non_Target_Long_Genes,2.5469,n
Brip1,Non_Target_Long_Genes,2.629,n
Brip1os,Non_Target_Long_Genes,3.72,n
Cab39l,Non_Target_Long_Genes,5.1066,n
Cables1,Non_Target_Long_Genes,2.2502,n
Cadps2,Non_Target_Long_Genes,2.6658,n
Cald1,Non_Target_Long_Genes,5.2709,n
Cap2,Non_Target_Long_Genes,3.4826,n
Ccdc34,Non_Target_Long_Genes,4.9689,n
Ccdc91,Non_Target_Long_Genes,4.8418,n
Ccny,Non_Target_Long_Genes,5.6024,n
Cd2ap,Non_Target_Long_Genes,4.2323,n
Cdc42bpa,Non_Target_Long_Genes,3.3364,n
Cdh6,Non_Target_Long_Genes,2.4067,n
Cdin1,Non_Target_Long_Genes,4.2339,n
Cdk5rap1,Non_Target_Long_Genes,2.5461,n
Cdkl5,Non_Target_Long_Genes,2.5201,n
Cdyl,Non_Target_Long_Genes,3.056,n
Cenpp,Non_Target_Long_Genes,5.2982,n
Cep128,Non_Target_Long_Genes,3.6027,n
Cep70,Non_Target_Long_Genes,3.8852,n
Cfap20dc,Non_Target_Long_Genes,3.5015,n
Cgnl1,Non_Target_Long_Genes,2.4408,n
Chchd3,Non_Target_Long_Genes,7.4752,n
Chd9,Non_Target_Long_Genes,3.0315,n
Chm,Non_Target_Long_Genes,3.6691,n
Chrna7,Non_Target_Long_Genes,2.1747,n
Clcn5,Non_Target_Long_Genes,2.8153,n
Clec16a,Non_Target_Long_Genes,3.0692,n
Clybl,Non_Target_Long_Genes,3.5374,n
Cmss1,Non_Target_Long_Genes,5.5094,n
Cnih3,Non_Target_Long_Genes,3.0519,n
Cnksr2,Non_Target_Long_Genes,2.378,n
Cntln,Non_Target_Long_Genes,3.3801,n
Cntn1,Non_Target_Long_Genes,2.5167,n
Cntnap4,Non_Target_Long_Genes,2.2955,n
Cobll1,Non_Target_Long_Genes,2.1777,n
Cog5,Non_Target_Long_Genes,4.3161,n
Col15a1,Non_Target_Long_Genes,3.0716,n
Col23a1,Non_Target_Long_Genes,2.0049,n
Col4a2,Non_Target_Long_Genes,5.9551,n
Col4a5,Non_Target_Long_Genes,2.8346,n
Col5a1,Non_Target_Long_Genes,3.0385,n
Col5a2,Non_Target_Long_Genes,4.5881,n
Colec12,Non_Target_Long_Genes,4.8889,n
Copg2,Non_Target_Long_Genes,6.0153,n
Cped1,Non_Target_Long_Genes,2.9335,n
Cpped1,Non_Target_Long_Genes,4.379,n
Cpq,Non_Target_Long_Genes,2.6374,n
Creb3l2,Non_Target_Long_Genes,2.2969,n
Creb5,Non_Target_Long_Genes,2.1678,n
Crppa,Non_Target_Long_Genes,2.8102,n
Crtac1,Non_Target_Long_Genes,2.8439,n
Cryl1,Non_Target_Long_Genes,3.1176,n
Cstpp1,Non_Target_Long_Genes,3.4204,n
Ctnnbl1,Non_Target_Long_Genes,6.9891,n
Ctps2,Non_Target_Long_Genes,4.8184,n
Cwc27,Non_Target_Long_Genes,4.9407,n
Cyp7b1,Non_Target_Long_Genes,2.0156,n
Dab2,Non_Target_Long_Genes,3.6974,n
Dcaf6,Non_Target_Long_Genes,3.9344,n
Ddr2,Non_Target_Long_Genes,2.6162,n
Ddx10,Non_Target_Long_Genes,4.5948,n
Dennd1b,Non_Target_Long_Genes,2.9006,n
Dennd2b,Non_Target_Long_Genes,3.0115,n
Dgkb,Non_Target_Long_Genes,2.0189,n
Diaph2,Non_Target_Long_Genes,2.1375,n
Dis3l2,Non_Target_Long_Genes,4.6207,n
Disp1,Non_Target_Long_Genes,2.3844,n
Dlc1,Non_Target_Long_Genes,2.3667,n
Dmd,Non_Target_Long_Genes,2.2313,n
Dock11,Non_Target_Long_Genes,4.408,n
Dock3,Non_Target_Long_Genes,2.5395,n
Dph6,Non_Target_Long_Genes,4.1794,n
Dpysl2,Non_Target_Long_Genes,5.5501,n
Dpysl3,Non_Target_Long_Genes,7.9211,n
Dtnb,Non_Target_Long_Genes,2.9246,n
Dync1i1,Non_Target_Long_Genes,2.5852,n
Eefsec,Non_Target_Long_Genes,4.385,n
Eepd1,Non_Target_Long_Genes,2.4396,n
Efcab11,Non_Target_Long_Genes,4.1996,n
Egflam,Non_Target_Long_Genes,2.8539,n
Eipr1,Non_Target_Long_Genes,4.1239,n
Elavl4,Non_Target_Long_Genes,6.7472,n
Elf1,Non_Target_Long_Genes,3.0388,n
Elp4,Non_Target_Long_Genes,3.8273,n
Eml4,Non_Target_Long_Genes,5.2419,n
Enox2,Non_Target_Long_Genes,3.7025,n
Enpp2,Non_Target_Long_Genes,4.23,n
Entpd1,Non_Target_Long_Genes,2.1793,n
Epb41l2,Non_Target_Long_Genes,4.7258,n
Epb41l3,Non_Target_Long_Genes,4.547,n
Eps8,Non_Target_Long_Genes,2.0415,n
Erbin,Non_Target_Long_Genes,6.1484,n
Esyt2,Non_Target_Long_Genes,3.4325,n
Etl4,Non_Target_Long_Genes,2.8742,n
Ets1,Non_Target_Long_Genes,3.7947,n
Evi5,Non_Target_Long_Genes,4.5931,n
Exoc2,Non_Target_Long_Genes,4.9764,n
Exoc6,Non_Target_Long_Genes,3.9525,n
Eya2,Non_Target_Long_Genes,3.0249,n
Eya4,Non_Target_Long_Genes,2.174,n
F13a1,Non_Target_Long_Genes,3.3961,n
Fancc,Non_Target_Long_Genes,3.149,n
Farp2,Non_Target_Long_Genes,2.2143,n
Fbn1,Non_Target_Long_Genes,2.5939,n
Fbn2,Non_Target_Long_Genes,2.4759,n
Fbxw7,Non_Target_Long_Genes,3.756,n
Fchsd2,Non_Target_Long_Genes,5.083,n
Fggy,Non_Target_Long_Genes,2.438,n
Fig4,Non_Target_Long_Genes,4.7047,n
Filip1,Non_Target_Long_Genes,2.0171,n
Fli1,Non_Target_Long_Genes,2.8708,n
Fndc3a,Non_Target_Long_Genes,4.9444,n
Focad,Non_Target_Long_Genes,3.5734,n
Fras1,Non_Target_Long_Genes,2.3452,n
Frmd3,Non_Target_Long_Genes,2.5866,n
Fsip1,Non_Target_Long_Genes,2.5219,n
Fstl5,Non_Target_Long_Genes,4.0839,n
Fut9,Non_Target_Long_Genes,3.9334,n
Gabra2,Non_Target_Long_Genes,2.6172,n
Gabra3,Non_Target_Long_Genes,3.0166,n
Galk2,Non_Target_Long_Genes,4.5352,n
Galnt14,Non_Target_Long_Genes,2.4711,n
Gas2,Non_Target_Long_Genes,4.0986,n
Gbe1,Non_Target_Long_Genes,4.7519,n
Gcnt2,Non_Target_Long_Genes,2.0093,n
Ghr,Non_Target_Long_Genes,2.0512,n
Glra2,Non_Target_Long_Genes,2.805,n
Gm29260,Non_Target_Long_Genes,3.3723,n
Gmds,Non_Target_Long_Genes,5.1661,n
Gng12,Non_Target_Long_Genes,3.3589,n
Gpatch2,Non_Target_Long_Genes,4.3219,n
Gpc3,Non_Target_Long_Genes,5.7676,n
Gpc4,Non_Target_Long_Genes,6.2278,n
Gpd2,Non_Target_Long_Genes,4.4664,n
Gpm6a,Non_Target_Long_Genes,7.9314,n
Gramd2b,Non_Target_Long_Genes,2.8329,n
Grb14,Non_Target_Long_Genes,3.0127,n
